Module                  Size  Used by
uvcvideo              180224  0
snd_seq_device         16384  3 snd_seq,snd_ump,snd_rawmidi
intel_vsec             24576  2 intel_pmc_ssram_telemetry,pmt_telemetry
pinctrl_alderlake      32768  0
acpi_tad               20480  0
acpi_pad              184320  0
videobuf2_vmalloc      20480  1 uvcvideo
snd_pcm               221184  15 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_usb_audio,snd_hda_codec,soundwire_intel,snd_sof,snd_soc_sdca,snd_sof_intel_hda_common,snd_compress,snd_sof_intel_hda_generic,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pcm_dmaengine
uvc                    12288  1 uvcvideo
videobuf2_memops       16384  1 videobuf2_vmalloc
snd_timer              57344  3 snd_seq,snd_hrtimer,snd_pcm
videobuf2_v4l2         40960  1 uvcvideo
videobuf2_common       98304  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
snd                   159744  29 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_usb_audio,snd_usbmidi_lib,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,snd_soc_sdw_utils,snd_soc_core,snd_ump,snd_pcm,snd_rawmidi
mousedev               28672  0
joydev                 28672  0
videodev              409600  2 videobuf2_v4l2,uvcvideo
hid_logitech_dj        45056  0
soundcore              16384  1 snd
mc                     94208  5 videodev,snd_usb_audio,videobuf2_v4l2,uvcvideo,videobuf2_common
mac_hid                12288  0
vboxnetflt             45056  0
vboxnetadp             28672  0
vboxdrv               696320  2 vboxnetadp,vboxnetflt
ccp                   221184  0
kvm_intel             536576  1
kvm                  1474560  3 kvm_intel
pkcs8_key_parser       12288  0
irqbypass              16384  1 kvm
nfnetlink              20480  6 nft_compat,nf_conntrack_netlink,nf_tables,ip_set
zram                   73728  1
842_decompress         20480  1 zram
842_compress           24576  1 zram
lz4hc_compress         20480  1 zram
lz4_compress           24576  1 zram
amdgpu              16883712  133
amdxcp                 12288  1 amdgpu
i2c_algo_bit           24576  1 amdgpu
drm_ttm_helper         20480  2 amdgpu
ttm                   126976  2 amdgpu,drm_ttm_helper
drm_exec               12288  1 amdgpu
drm_panel_backlight_quirks    12288  1 amdgpu
gpu_sched              73728  1 amdgpu
nvme                   77824  2
drm_suballoc_helper    16384  1 amdgpu
drm_buddy              28672  1 amdgpu
nvme_core             278528  3 nvme
drm_display_helper    290816  1 amdgpu
nvme_keyring           20480  1 nvme_core
nvme_auth              32768  1 nvme_core
spi_intel_pci          12288  0
video                  81920  1 amdgpu
cec                    98304  2 drm_display_helper,amdgpu
hkdf                   12288  1 nvme_auth
spi_intel              40960  1 spi_intel_pci
wmi                    40960  3 video,wmi_bmof,mxm_wmi
